Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_60,MA_120,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,RSI,Stochastic,Returns
2021-06-25,40108.11891334177,40350.17428824579,40080.71641806962,40149.22265625,4136736,39761.93671875,39697.540234375,39528.557421875,39106.89752604167,38579.43557942708,248.18083291056246,206.05456062980892,42.12627228075354,39528.557421875,40086.98130644423,38970.13353730577,59.519961463352544,84.61536207742046,0.005030235388380211
2021-06-28,40204.02983241645,40245.13357755921,40007.64527228991,40108.12109375,3513373,39919.04453125,39760.109375,39581.079296875,39137.30091145833,38610.20465494792,264.41573628002516,217.72679575985217,46.68894052017299,39581.079296875,40150.51628682698,39011.64230692302,60.291663201086806,81.46867125020678,-0.001023720007032325
2021-06-29,40130.9560707626,40153.791484482164,39829.52860966435,39952.83984375,3939461,39991.20390625,39798.016015625,39614.6470703125,39157.99654947917,38635.113509114584,261.7349969110219,226.52843599008614,35.20656092093574,39614.6470703125,40188.854200550166,39040.43994007484,67.26945396503297,69.58050799574966,-0.003871566300426843
2021-06-30,40048.754946552144,40208.60286799465,40012.21827879385,40094.42578125,3252256,40050.5765625,39825.87578125,39656.89296875,39179.7779296875,38664.196451822914,267.94657222690876,234.81206323745067,33.134508989458084,39656.89296875,40242.205714688724,39071.58022281127,67.38748512849597,78.70787676649421,0.003543826622931512
2021-07-01,40112.68956232814,40112.68956232814,39802.12792163153,39861.5,4290079,40033.221875,39853.278515625,39669.2248046875,39196.77786458333,38684.22705078125,251.17869487068674,238.0853895640979,13.093305306588832,39669.2248046875,40261.16423245745,39077.285376917556,57.27440408403072,59.31584004693193,-0.0058094305308377114
2021-07-02,39847.802291857864,40021.35145943271,39806.69854164276,39811.265625,3436772,39965.63046875,39863.78359375,39686.580078125,39211.366796875,38690.02819010417,231.17173318280402,236.70265828783914,-5.530925105035124,39686.580078125,40273.53714343913,39099.62301281087,56.54556594707066,55.13362011680446,-0.0012602228967800722
2021-07-05,39980.2433872959,40108.121707474595,39925.4383929336,39998.51171875,2774715,39943.70859375,39931.3765625,39706.2185546875,39229.676106770836,38696.56630859375,227.79933782127773,234.92199419452686,-7.122656373249129,39706.2185546875,40307.88580353746,39104.551305837536,58.14361059141967,70.72263351887757,0.004703344412954724
2021-07-06,40108.121986175836,40281.67113619573,40094.42073749006,40181.1953125,4009188,39989.3796875,39990.291796875,39738.873046875,39254.102734375,38707.171875,237.13419408707705,235.36443417303693,1.7697599140401223,39738.873046875,40370.007172913305,39107.738920836695,57.168476911333265,85.93179988530615,0.004567259777927379
2021-07-07,40044.18880818941,40044.18880818941,39829.535880043324,39930.01171875,3816728,39956.496875,40003.53671875,39781.347265625,39274.34296875,38713.85016276042,221.7080062572859,232.63314858988673,-10.925142332600842,39781.347265625,40335.58502495762,39227.109506292385,56.66092409782421,65.01972460015944,-0.006251272312744249
2021-07-08,39975.68168125867,40076.15751777046,39514.40625,39514.40625,5209381,39887.078125,39960.15,39796.4189453125,39280.31197916667,38717.47685546875,173.94166208856768,220.89485128962295,-46.95318920105527,39796.4189453125,40299.62284759663,39293.21504302837,46.656197777562895,30.4188467256717,-0.010408348278917345
2021-07-09,39130.76322283879,39322.58068961741,38769.963701993285,39094.2265625,8288519,39743.6703125,39854.650390625,39776.0953125,39274.7814453125,38724.750748697916,101.01703945394547,196.91928892248745,-95.90224946854198,39776.0953125,40356.49994074865,39195.690684251356,46.06916399384073,20.520230868450845,-0.010633582214081727
2021-07-12,39331.71746012794,39514.40077392324,39331.71746012794,39445.89453125,3929269,39633.146875,39788.427734375,39774.2685546875,39274.5125,38742.365950520834,70.78445752421248,171.69232264283247,-100.90786511861998,39774.2685546875,40358.78033388329,39189.75677549171,47.55348922368696,42.77473111097777,0.008995393941040986
2021-07-13,39624.01214659873,39792.99421776334,39624.01214659873,39779.29296875,3654600,39552.76640625,39771.073046875,39784.54453125,39280.17486979167,38754.562760416666,72.88718797785259,151.93129570983652,-79.04410773198393,39784.54453125,40361.39106450744,39207.69799799256,49.70672592763523,63.87308600117374,0.008452044033020245
2021-07-14,39642.28125,39701.653330213136,39482.43334173387,39642.28125,3453656,39495.2203125,39725.85859375,39775.8671875,39283.628515625,38763.783854166664,62.774293384791235,134.09989524482745,-71.32560186003622,39775.8671875,40355.94447563284,39195.78989936716,45.06632068222757,55.202613853855354,-0.003444297485569514
2021-07-15,39756.4574594669,39934.5736962181,39624.0120526519,39911.73828125,2841123,39574.68671875,39730.882421875,39792.08046875,39287.451432291666,38770.5345703125,75.63085659952776,122.40608751576752,-46.775230916239764,39792.08046875,40368.09891343274,39216.06202406726,46.25367262832015,75.52880626396473,0.006797213045099504
2021-07-16,39733.623646144566,39788.42864427718,39592.04406763532,39742.7578125,3617046,39704.39296875,39724.031640625,39793.9076171875,39300.29889322917,38778.16022135417,71.36184900024818,112.19723981266367,-40.83539081241548,39793.9076171875,40369.010350409015,39218.80488396598,44.45989729252676,64.3506864157183,-0.004233853899302198
2021-07-19,39400.22650665751,39418.49483933708,39212.97609669194,39295.18359375,4034494,39674.25078125,39653.698828125,39792.5376953125,39304.712630208334,38774.30849609375,31.50001820023317,96.05779549017758,-64.55777728994441,39792.5376953125,40372.47785379168,39212.597536833324,40.83976443243102,34.74348805023996,-0.011261780595639204
2021-07-20,39007.44899829466,39212.96769691581,38966.34525857043,39167.296875,3885032,39551.8515625,39552.308984375,39771.300390625,39306.62018229167,38778.41116536458,-10.291525012871716,74.78793138956773,-85.07945640243945,39771.300390625,40410.25970504148,39132.341076208526,37.03691566580918,26.283734803245355,-0.0032545138374245886
2021-07-21,39409.35070543249,39409.35070543249,38934.37417589663,38966.34375,4986269,39416.6640625,39455.9421875,39729.739453125,39299.258072916666,38781.924641927086,-58.94735345605295,48.0408744204436,-106.98822787649655,39729.739453125,40462.72140025788,38996.75750599213,37.37104311789084,12.99061204328352,-0.005130635530997463
2021-07-22,39194.708183498784,39532.67234168789,39194.708183498784,39450.46484375,3684633,39324.409375,39449.548046875,39704.8490234375,39299.215104166666,38795.39293619792,-57.77690554451692,26.8773184274515,-84.65422397196842,39704.8490234375,40440.38943711441,38969.308609760585,45.46499010659348,45.015399564780104,0.012424083123015572
2021-07-23,39514.40099051017,39642.2793108678,39404.79100163219,39523.53515625,5383684,39280.56484375,39492.47890625,39673.5646484375,39307.359765625,38816.55218098958,-50.37249087827513,11.427356566306173,-61.7998474445813,39673.5646484375,40382.258944677495,38964.87035219751,43.85346255178814,49.84902747761437,0.001852204094157317
2021-07-26,39646.85078636039,39646.85078636039,39098.80078125,39098.80078125,3752968,39241.28828125,39457.76953125,39623.0986328125,39310.63287760417,38826.4904296875,-77.87921026081312,-6.433956799117688,-71.44525346169544,39623.0986328125,40345.1212232792,38901.0760423458,36.81879114177554,25.175213301791654,-0.0107463660151067
2021-07-27,39304.31001913265,39455.02373405612,39162.73046875,39162.73046875,3617517,39240.375,39396.11328125,39583.5931640625,39319.46236979167,38832.27744140625,-93.44274228118593,-23.835713895531335,-69.60702838565459,39583.5931640625,40316.03678711357,38851.14954101143,40.20967867346389,30.06956257276584,0.0016350805196729823
2021-07-28,39094.23395535403,39340.856459277995,38957.221453174054,39281.484375,3691893,39303.403125,39360.03359375,39542.94609375,39334.38170572917,38836.39361979167,-95.09827208597562,-38.08822553362019,-57.01004655235543,39542.94609375,40245.6515363675,38840.240651132495,46.784373786617195,43.92205764533135,0.0030323193717241015
2021-07-29,39395.799664140606,39473.53948936294,39203.7365665325,39336.3515625,3999341,39280.58046875,39302.494921875,39516.688671875,39344.8109375,38846.362890625,-90.93472894629667,-48.65752621615549,-42.277202730141184,39516.688671875,40208.435754608676,38824.94158914133,53.71767189674199,40.18971999448389,0.0013967697090113695
2021-07-30,39171.72755641697,39185.44634963075,38824.18479500118,38856.1953125,5066159,39147.1125,39213.838671875,39468.93515625,39343.43170572917,38848.283919270834,-124.93946319360111,-63.91391361164462,-61.0255495819565,39468.93515625,40205.47179658063,38732.398515919376,41.289252688587744,2.8828203761527638,-0.012206425632461104
2021-08-02,39039.11328125,39103.13431743806,38751.018618403716,39039.11328125,5666629,39135.175,39188.231640625,39420.965234375,39340.9146484375,38854.87688802083,-135.56579065864935,-78.24428902104557,-57.321501637603774,39420.965234375,40136.96035310219,38704.970115647804,38.557746887114895,24.341466506002778,0.0047075625206967064
2021-08-03,38988.809962661115,39382.08203125,38961.372376480496,39382.08203125,4634044,39179.0453125,39209.71015625,39381.0095703125,39333.15286458333,38865.41468098958,-114.98702111521561,-85.59283543987958,-29.394185675336033,39381.0095703125,40001.14806548602,38760.87107513897,46.21844255082402,53.31931100423629,0.008785259735003326
2021-08-04,39482.68608296118,39976.56262882171,39414.09211825833,39935.40625,6976309,39309.8296875,39306.61640625,39381.279296875,39346.259114583336,38878.35260416667,-53.41383640323329,-79.15703563255032,25.743199229317028,39381.279296875,40002.427078611625,38760.131515138375,50.317755833040515,96.64178695568242,0.014050151495569319
2021-08-05,39926.26322577291,40090.88875276041,39793.64821792187,39862.2421875,5139328,39415.0078125,39347.794140625,39398.67109375,39368.9546875,38885.996907552086,-10.400482011762506,-65.40572490839276,55.00524289663025,39398.67109375,40054.04880190273,38743.29338559727,51.646506099845396,82.93516965581233,-0.0018320600532265585
2021-08-06,39857.66331870966,39949.12193118949,39583.28748127017,39674.74609375,3737342,39578.71796875,39362.915234375,39427.6970703125,39395.90872395833,38890.65481770833,8.461010183971666,-50.63237788991987,59.09338807389154,39427.6970703125,40077.701200395015,38777.69294022998,55.63426016124394,68.94156766840615,-0.004703601289362314
2021-08-09,39500.977893230374,39647.31168491634,39359.217032534594,39491.83203125,3972301,39669.26171875,39402.218359375,39429.9939453125,39413.876953125,38897.310774739584,8.55067560588941,-38.79576719075801,47.34644279664742,39429.9939453125,40080.593205310965,38779.39468531403,54.73999381548935,55.2899414540625,-0.004610339838540645
2021-08-10,39624.44915501166,39624.44915501166,39103.1349941725,39235.75,3407441,39639.9953125,39409.5203125,39402.816796875,39430.317578125,38906.44169921875,-11.904713529147557,-33.417556458435925,21.512842929288368,39402.816796875,40037.18778095416,38768.445812795835,53.87244861290787,36.17748983031228,-0.006484430275287334
2021-08-11,39130.57108979919,39254.04022844879,38860.76815719452,38883.6328125,4612520,39429.640625,39369.73515625,39364.884375,39433.35364583333,38909.8654296875,-55.884469677344896,-37.910939102217725,-17.97353057512717,39364.884375,40028.995574246575,38700.77317575343,41.530962305489766,9.897540865776207,-0.008974396755509928
2021-08-12,38874.486134634404,38956.798892006875,38595.53734576101,38728.15234375,4505379,39202.82265625,39308.915234375,39305.705078125,39435.85364583333,38915.365983072916,-102.10768388546421,-50.75028805886703,-51.357395826597184,39305.705078125,39975.55065417792,38635.85950207208,38.40179995443153,8.868483847224692,-0.00399860963351184
2021-08-13,38636.69712065368,38664.1347088563,37914.173964651396,38074.2265625,7095485,38882.71875,39230.718359375,39222.278515625,39427.759440104164,38915.75436197917,-189.32385210964276,-78.46500086902218,-110.85885124062058,39222.278515625,40058.00909674724,38386.54793450276,35.99580553844051,7.35294300948114,-0.016885023985801717
2021-08-17,38110.81404883382,38206.84561771137,37580.353954081635,37644.375,5913734,38513.22734375,39091.24453125,39139.7380859375,39414.327864583334,38919.30553385417,-289.7882241985644,-120.72964553493063,-169.0585786636338,39139.7380859375,40231.89409210668,38047.58207976831,31.133845686400704,2.550095937808069,-0.011289830452481664
2021-08-18,37658.095768048166,38019.35740322434,37456.88675605131,37831.8671875,4808571,38232.45078125,38936.223046875,39072.9666015625,39397.931640625,38913.14016927083,-350.2405551890479,-166.6318274657541,-183.60872772329378,39072.9666015625,40311.507398435686,37834.42580468931,32.29045971065507,14.236148336910434,0.004980616293934981
2021-08-19,37539.19420055809,37772.41370405772,37077.328125,37077.328125,6759342,37871.18984375,38650.415234375,38978.5158203125,39370.25377604167,38909.56780598958,-453.80329750137025,-224.06612147287734,-229.7371760284929,38978.5158203125,40505.75662070372,37451.27501992128,26.431334575526833,0.0,-0.019944536672229285
