Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_60,MA_120,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,RSI,Stochastic,Returns
2021-06-25,14271.144651783763,14290.849373429306,14088.8759765625,14088.8759765625,1737410,14180.503125,14077.053125,13895.769580078126,13975.139176432293,14116.210205078125,106.78602858225713,62.22317047543741,44.56285810681972,13895.769580078126,14349.075361735882,13442.46379842037,63.939413235423096,66.85396671840802,-0.007633588311338313
2021-06-28,14162.769353476875,14207.104979279064,14108.581366385311,14152.9169921875,1369981,14174.591796875,14096.75791015625,13913.7501953125,13976.212923177083,14108.941813151041,107.66247766507331,71.3110319133646,36.35144575170871,13913.7501953125,14378.331231778924,13449.169158846074,63.82981543856689,74.15740496428539,0.0045455021203633095
2021-06-29,14187.399109920498,14325.332156822504,14172.620569180997,14251.439453125,2420098,14194.2962890625,14133.704296875,13936.410595703124,13978.847395833332,14102.413142903646,114.98157308776172,80.04514014824403,34.93643293951769,13936.410595703124,14421.045757596918,13451.775433809331,74.19356488986517,85.39321536277009,0.006961283033871002
2021-06-30,14241.587103679782,14423.85577294168,14231.734743179139,14359.8154296875,2544550,14210.0599609375,14184.4439453125,13973.11064453125,13984.832926432291,14097.844563802084,128.0509528388684,89.64630268636891,38.404650152499485,13973.11064453125,14469.73126827587,13476.490020786632,71.0145260641721,90.57970786605804,0.0076045635192827366
2021-07-01,14330.258754470367,14482.970346559945,14320.406393690395,14463.265625,2581848,14263.2626953125,14238.1392578125,14006.362353515626,13993.762223307293,14093.487638346354,145.08366249399478,100.7337746478941,44.349887846100685,14006.362353515626,14541.261823895788,13471.462883135464,72.78914133326141,97.33333141893986,0.007204145193860034
2021-07-02,14468.190966249364,14527.305127500636,14399.224444789543,14497.748046875,2906227,14345.037109375,14262.7701171875,14047.003271484375,14002.859684244791,14088.523714192708,159.52573747314818,112.4921672129449,47.03357026020328,14047.003271484375,14602.201692686656,13491.804850282093,70.37037037037037,96.22640869817891,0.0023841380480074115
2021-07-05,14537.157692463512,14773.614340799075,14537.157692463512,14724.3525390625,4418432,14459.32421875,14316.9580078125,14101.437548828126,14012.563004557293,14085.488810221354,187.09950798775026,127.41363536790598,59.685872619844275,14101.437548828126,14698.713434553036,13504.161663103216,78.40537578604341,95.21530573464048,0.015630323513336597
2021-07-06,14680.017749683277,14729.279554212415,14547.010877454602,14581.494140625,2623304,14525.33515625,14359.81572265625,14145.28056640625,14018.665771484375,14081.62928873698,195.17458976357557,140.9658262470399,54.20876351653567,14145.28056640625,14748.615980004191,13541.94515280831,72.83956962404818,81.33977265086261,-0.0097021854141639
2021-07-07,14581.493877400606,14699.722206136286,14542.084434488714,14620.9033203125,2105129,14577.552734375,14393.80634765625,14200.70009765625,14023.392757161459,14078.098177083333,202.4207611611455,153.25681322986102,49.16394793128447,14200.70009765625,14761.425199203035,13639.974996109466,72.23979142915927,82.18396967248655,0.0027026846019642115
2021-07-08,14615.976536440516,14665.238338046314,14349.962807769201,14399.224609375,2108278,14564.74453125,14414.00361328125,14231.242431640625,14020.034602864584,14074.183227539062,188.1073998603988,160.22693055596858,27.88046930443022,14231.242431640625,14763.211122032626,13699.273741248624,55.06756892512567,45.323681134547265,-0.01516176573232153
