N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
1,글로벌에스엠,빛의속도,방금 전,지금 떨어지면 회복 불가능이다,완전 복구 불구능,2026-02-11 13:41:02,"완전, 복구, 불구능",0,0,3,0,중립,0.0
2,아크릴,파슈파티,방금 전,시총 10조면 주당 100만원?!,달나라 렛츠고!!,2026-02-11 13:41:02,"달나라, 렛츠고",0,0,2,0,중립,0.0
3,LG,Kospi5000,방금 전,오후에는 하락입니다. 괜히 기분만 설례였군..,기관 & 외국인 올리고 매도 실시..,2026-02-11 13:41:02,"기관, 외국인, 올리고, 매도, 실시",0,1,4,-1,부정,0.2
4,갤럭시아머니트리,선무당때려잡기,방금 전,투자 풍월: 상한가+10~20% 상승가능성,선무당의 주식 판타지 소설^^,2026-02-11 13:41:02,"선무당의, 주식, 판타지, 소설",0,0,4,0,중립,0.0
5,와이씨,재미있는주가계산쉐프,방금 전,달려라,위로 좀 올라가자,2026-02-11 13:41:02,"위로, 올라가자",1,0,1,2,긍정,0.5
6,현대차,월천대사ㅎ만세,방금 전,설레발 치지말고,관세 해결 되고 나서 큰소리로 치라고... 트럼프 관세는 가장 큰 리스크가 임...,2026-02-11 13:41:02,"관세, 해결, 되고, 나서, 큰소리로, 치라고, 트럼프, 관세는, 가장, 리스크가",0,1,9,-1,부정,0.1
7,DSR,donggagguli,방금 전,간만에 거래 좀 되는,오늘 5만주 만 넘기자,2026-02-11 13:41:03,"오늘, 만주, 넘기자",0,0,3,0,중립,0.0
8,노타,피리부는가시나,방금 전,앗싸 아크릴...,ㅋㅋㅋㅋ ㅋ,2026-02-11 13:41:03,,0,0,0,0,중립,0.0
9,삼성전자,쾌활한패턴관망가,방금 전,설 연휴전에 20만원 찍고 연휴기간 기분좋게 쉬고 올께요,주주 여러분 설 연휴전에 20만원 찍고 기분좋은 연휴되세요,2026-02-11 13:41:04,"주주, 여러분, 연휴전에, 만원, 찍고, 기분좋은, 연휴되세요",1,0,6,1,긍정,0.143
10,제이앤티씨,shgh,방금 전,초오옷 같네,쫌 가즈아 🔥🙌😎,2026-02-11 13:41:04,가즈아,1,0,0,2,긍정,1.0
11,SK하이닉스,갈매기사랑,방금 전,HBM4부터는 삼전이 주도권,공급도 그렇고 주가도 그렇고~~!,2026-02-11 13:41:05,"공급도, 그렇고, 주가도, 그렇고",0,0,4,0,중립,0.0
12,셀트리온,유연한주가추세용사,방금 전,모레 추가상장 하는데 악재아냐?,모레 추가상장하면 떨어질거같은데 형들 어떻게 생각해?,2026-02-11 13:41:06,"모레, 추가상장하면, 떨어질거같은데, 형들, 생각해",0,1,4,-2,부정,0.2
13,삼양바이오팜,발췌,방금 전,이번주 20먼원터치,투자는ㅏㄱ자의몫 단타금지ㅣ그간돌입,2026-02-11 13:41:07,"투자는, 자의몫, 단타금지, 그간돌입",0,0,4,0,중립,0.0
14,휴젤,방가방가1,방금 전,다들 2시부터 긴장하세요,"실적 나오니, 매도 버튼 준비도 하시고요. 하회 하면 대응하기 힘들게 던집니다 그냥 -10% 가격에 매도 쳐버림. 11월4일 있었던일",2026-02-11 13:41:08,"실적, 나오니, 매도, 버튼, 준비도, 하시고요, 하회, 하면, 대응하기, 힘들게",0,2,14,-2,부정,0.125
15,SK하이닉스,신중한익절나비,방금 전,삼전에 밀리는게 아니라..,삼전이 언론플레이 엄청하구... 닉스는 잠수함 마냥 언론공시자제중이니까요.. 이게 마치 삼전이 더 핫하게 보일수 있는거지요.. 다만 보이는게 다가 아니죠.. 주가가 안빠지는데 그 만한 이유가 있는것입니다..,2026-02-11 13:41:09,"삼전이, 언론플레이, 엄청하구, 닉스는, 잠수함, 마냥, 언론공시자제중이니까요, 이게, 마치, 삼전이",0,2,20,-2,부정,0.091
16,신풍제약,wes9999x,방금 전,기렉같은 회사의 잡주...!!,할말을 잃었다.,2026-02-11 13:41:09,"할말을, 잃었다",0,0,2,0,중립,0.0
17,지엔씨에너지,쿄콩,방금 전,뺄때 스텝이..,앞으로 1.5걷다가..뒤고 2걸음씩 빼네.. 가랑비에 옷 젖는 느낌으로 ㅎㅎㅎ,2026-02-11 13:41:10,"앞으로, 걷다가, 뒤고, 걸음씩, 빼네, 가랑비에, 젖는, 느낌으로",0,0,8,0,중립,0.0
18,현대바이오,바다꾼,방금 전,견,신한공견들 악의축이넹 피똥사길,2026-02-11 13:41:10,"신한공견들, 악의축이넹, 피똥사길",0,0,3,0,중립,0.0
19,파트론,자앗자앗,방금 전,신고가 너에겐 그림의 떡이다,도도리가 적격이어라,2026-02-11 13:41:10,"도도리가, 적격이어라",0,0,2,0,중립,0.0
20,엔투텍,고무통과드럼통,방금 전,어이,니친구 앱튼은 나가리인데 니는 왜오르노 마지막 불꽃이가 마,2026-02-11 13:41:11,"니친구, 앱튼은, 나가리인데, 니는, 왜오르노, 마지막, 불꽃이가",0,0,7,0,중립,0.0
21,현대차,사교적인매도히어로,방금 전,대박이긴한듯,".,.,.,.,...... 덕분에 감사합니다 .,.,.,.,......",2026-02-11 13:41:11,"덕분에, 감사합니다",0,0,2,0,중립,0.0
22,카카오페이,따뜻한시황가족,방금 전,물량 쌓아놓고…,저가매수하고 있는듯하네...,2026-02-11 13:41:11,"저가매수하고, 있는듯하네",1,0,1,1,긍정,0.5
23,아세아제지,진짜주주환원은,방금 전,쓰레기 탄거로 폭락하네. 피해액도 없다는데,회사전화하니 피해도 전무하다는덕 뉴스하나로 폭락하네,2026-02-11 13:41:12,"회사전화하니, 피해도, 전무하다는덕, 뉴스하나로, 폭락하네",0,2,3,-5,부정,0.4
24,씨엔플러스,Ric,방금 전,다른데 가서 놀아여 이거 시세 끝났다고 어제 이야기 해줌,이거 붙잡고 있어봐야 시세 안줘요 ㅋㅋㅋㅋ,2026-02-11 13:41:12,"이거, 붙잡고, 있어봐야, 시세, 안줘요",0,1,4,-1,부정,0.2
25,세미파이브,마이스터강,방금 전,이건 걔잡주여 이게 무슨 시총 구천억이냐,ㅋㅋㅋㅋㅋㅋ진짜 움직임보면 사면 잣되는구나 알지,2026-02-11 13:41:12,"진짜, 움직임보면, 사면, 잣되는구나, 알지",0,0,5,0,중립,0.0
26,글로벌에스엠,테리요미,방금 전,사요나라 ㅋㅋㅋㅋ 잣뎄다 진짜,끝 잘먹고갑니다 꺼억,2026-02-11 13:41:13,"잘먹고갑니다, 꺼억",1,0,1,1,긍정,0.5
27,브리지텍,신입,방금 전,예상보다,물량이 별로 없네요? 다들 만원 저 위를 보는건가요?ㅎ,2026-02-11 13:41:13,"물량이, 별로, 없네요, 다들, 만원, 위를, 보는건가요",0,1,6,-1,부정,0.143
28,센코,솔직한판단아이콘,방금 전,위에 매물 많긴한가봐 ㅋㅋ,바로 던져버리네 ㅋㅋ,2026-02-11 13:41:13,"바로, 던져버리네",0,0,2,0,중립,0.0
29,스맥,블랙호,방금 전,이번엔 며칠 빠질까요 ?????,이번에도 6천원 아래로 추락할까요? 아마 설전에 폭락 함 올듯... 그래야 미치거던여..,2026-02-11 13:41:14,"이번에도, 천원, 아래로, 추락할까요, 아마, 설전에, 폭락, 올듯, 그래야, 미치거던여",0,1,9,-3,부정,0.1
30,우리기술,흐뭇한종목시세번역가,방금 전,오늘 도움주셔서 감사합니다~!ㅎㅎ,:' 들어온지는 며칠 안됐지만.. 감사드립니다ㅎㅎ.. :',2026-02-11 13:41:14,"들어온지는, 며칠, 안됐지만, 감사드립니다",0,1,3,-1,부정,0.25
31,에이비엘바이오,마을촌장,방금 전,상한가로 간 놈은 굳건하게 지키고 있는데..,상한가 간다고 같이 갈 것처럼 하더니 요게 뭐야? 그릇이 너무 작다...,2026-02-11 13:41:15,"상한가, 간다고, 같이, 것처럼, 하더니, 요게, 뭐야, 그릇이, 너무, 작다",1,0,9,3,긍정,0.1
32,엘브이엠씨홀딩스,가보자주식,방금 전,내가 머라했냐 엘브는 4월부터다,이건 가망없는주다 1200원에 매수,2026-02-11 13:41:15,"이건, 가망없는주다, 원에, 매수",1,1,2,0,중립,0.5
33,SK하이닉스,주달맛집,방금 전,메릴린치야 너... 린치 한번 당해볼래~~!!!!!!!!!!!,"형이 손목아지 조심하랬지~~ ??? 공매 치려면, 이런 우량주는 건들지마라.. 몽아~~!!!!!1",2026-02-11 13:41:16,"형이, 손목아지, 조심하랬지, 공매, 치려면, 이런, 우량주는, 건들지마라, 몽아",0,1,8,-1,부정,0.111
34,현대차,수석팀장뽕브라,방금 전,반도체 소부장 조벙박을때 전고점 뚫자,3주 오르고 3주 조정 받았다 이제 올라가자 80넘어간다,2026-02-11 13:41:16,"오르고, 조정, 받았다, 이제, 올라가자, 넘어간다",1,1,4,1,긍정,0.333
35,이마트,대주거래자입니다,방금 전,혹시 이마트 코인인가요?,비트코인보다 핫하네요~,2026-02-11 13:41:17,"비트코인보다, 핫하네요",0,0,2,0,중립,0.0
36,LG전자,알바척살자,방금 전,진짜 더러워서 쥐꼬리만큼 먹고 간다,니가 그러니까 4위인거야. 망길만 남은거 아니냐?,2026-02-11 13:41:17,"니가, 그러니까, 위인거야, 망길만, 남은거, 아니냐",0,2,4,-4,부정,0.333
37,엘브이엠씨홀딩스,rlt,방금 전,‘60조 유령코인 사태’ 금융당국 감독 소홀·빗썸 내부통제 한계 드러나,"가상자산 거래소 빗썸의 60조원 규모 비트코인(BTC) 오지급 사태가 시스템 고도화 과정에서 발생한 기본적인 내부통제 부재 때문인 것으로 드러났다. 국회 정무위원회는 11일 긴급 현안질의를 열고 빗썸의 전산 시스템 취약성과 금융위원회·금융감독원 등 당국의 감독 소홀을 강하게 질타했다. 금융당국은 이번 사태를 계기로 거래소 등 가상자산 사업자에 금융회사 수준의 내부통제 의무를 부과하는 등 제도개선에 착수했다. 이날 현안질의 핵심은 빗썸의 내부통제 시스템이 왜 작동하지 않았느냐에 집중됐다. 이재원 빗썸 대표는 “거래소 운영 시스템 고도화 과정에서 기존에 탑재됐던 다중결제 시스템이 누락된 채 사고가 발생했다”며 “이벤트 설계 시 지급 한도 계정을 분리하지 못한 점도 인정한다”고 말했다. 앞서 지난 6일 발생한 사고로 오지급된 물량은 62만 BTC로, 당시 시세 기준 약 60조 원에 달한다. 빗썸이 실제 보유한 비트코인(약 4만2000개)의 15배에 달하는 ‘유령코인’이 장부상 발행된 셈이다. 더불어민주당 박상혁 의원의 “이론상 1000만 BTC도 오지급될 수 있었느냐”는 질의에 이 대표는 “이론상 그렇다”고 답해 시스템적 방어선이 부실했음을 시인했다. 금융당국의 안일한 감독체계도 비판의 대상이 됐다. 빗썸은 지난 2024년 7월 가상자산이용자보호법 시행 이후 수차례 점검을 받았으나, 이번 사고의 단초가 된 내부통제 취약점은 사전에 걸러지지 않았다. 민주당 김남근 의원은 “업비트 등 다른 거래소는 5분 단위 실시간 대사 시스템을 운영 중인데 빗썸은 하루 단위로 확인하고 있었다”며 “금융당국이 이런 격차를 왜 방치했느냐”고 질타했다. 이에 이찬진 금융감독원장은 “현행법상 내부통제 기준에 대한 강제력이 없는 제도적인 한계가 있다”면서도 “빗썸에 대해 10일부터 현장검사로 전환해 자금세탁방지 의무 위반 등을 면밀히 점검 중”이라고 밝혔다. 정부는 이번 사태를 ‘가상자산 시장 신뢰를 무너뜨린 엄중한 사건’으로 규정하고 고강도 제도 개선안을 내놨다. 권대영 금융위원회 부위원장은 업무보고를 통해 “금융사에 준하는 내부통제기준 마련을 의무화하고, 전산 사고 발생 시 거래소에 무과실 손해배상 책임을 부과하는 방안을 2단계 법안에 반영하겠다”고 보고했다. 주요 대책으로는 △외부 기관의 주기적인 가상자산 보유현황 점검 의무화 △실시간 자산 대사 시스템(POR) 도입 유도 △고액 거래 발생 시 이상거래탐지(STR) 체계 강화 등이 포함됐다. 특히 민주당 민병덕 의원 등이 지적한 ‘지급의무 확인제(POL)’ 등 기술적인 안전장치 도입도 적극 검토될 전망이다. 사후 수습도 난항이 예상된다. 빗썸은 현재 오지급된 62만 BTC 중 매도된 1788개(약 130억원 상당)를 아직 회수하지 못했다. 빗썸 측은 “미회수 물량은 회사 고유자산으로 우선 매입해 정합성을 맞췄다”고 설명했으나, 사고 직후 발생한 가격 급락(패닉셀)과 강제 청산 피해자들에 대한 구체적인 보상 범위 확정을 두고 진통이 이어질 전망이다.",2026-02-11 13:41:17,"가상자산, 거래소, 빗썸의, 조원, 규모, 비트코인, 오지급, 사태가, 시스템, 고도화",4,22,278,-27,부정,0.086
38,파미셀,오늘도개털이군,방금 전,선행스펜 빠저 나온다,그때는 늦으리 ㅋㅋㅋㅋ,2026-02-11 13:41:18,"그때는, 늦으리",0,0,2,0,중립,0.0
39,SK바이오사이언스,Ykk,방금 전,Sk개바사,불나서 없어지길 기원 26일 차. 사기꾼 회사야. ㅋ 수주 능력도 없고 기술도 없고 사기꾼이 하는짓? 남들 개발해 놓은거에 발 담그고 ㅋ 개나 소나 돈있으면 다하는 임상이나 대신 해주고 ㅋ 지들이 뭔 실력이나 있는것 처럼 자랑 질이나 하면서 다음 사기칠 밑 그림 그리겠지. 왜 ? 남은 돈이 3000억 정도겠지 ㅋ 1년 안에 주주님들 한테사기쳐야 ㅋ 또 몇년 호의호식하며 살테니까.,2026-02-11 13:41:18,"불나서, 없어지길, 기원, 사기꾼, 회사야, 수주, 능력도, 없고, 기술도, 없고",2,4,37,0,부정,0.14
40,에이프로젠,행복한남자,방금 전,주식 없는 king구라쟁이(구:주식king),에젠 685원 25만주 보유자라고 해서 인증요청 어제 추매한 내역 인증 그리고 현재 오늘 에젠 보유주식 및 평잔 인증 하세요~ 이것들 글 살지러 아는거냐~ㅋㅋㅋㅋ 에젠 포토샵 돌리고 있남~ㅋㅋㅋㅋ,2026-02-11 13:41:18,"에젠, 만주, 보유자라고, 해서, 인증요청, 어제, 추매한, 내역, 인증, 그리고",0,0,24,0,중립,0.0
41,인스웨이브,한화오션대주주,방금 전,피씨방에 사발면이나 납품해라,뻘짖 그만하고,2026-02-11 13:41:18,"뻘짖, 그만하고",0,0,2,0,중립,0.0
42,더본코리아,커여운까미,방금 전,코스피에 어묵을 넣지말라는 법이 있을까?,고정관념을 깨란 말이쥬~,2026-02-11 13:41:19,"고정관념을, 깨란, 말이쥬",0,0,3,0,중립,0.0
43,제주은행,찢두로를재판하라,방금 전,은행주 단타처먹는 유일한 넘,잡주은행 써글,2026-02-11 13:41:19,"잡주은행, 써글",0,0,2,0,중립,0.0
44,대창,123345,방금 전,영업이익 500억 넘음 ㄷㄷ 60%이상 상승,매출1.5조육박,2026-02-11 13:41:19,"매출, 조육박",0,0,2,0,중립,0.0
45,포스코퓨처엠,공감하면엄지척,방금 전,유진,이기업은 또 뭐냐 이것도 공매기업이네,2026-02-11 13:41:19,"이기업은, 뭐냐, 이것도, 공매기업이네",0,0,4,0,중립,0.0
46,센코,peterlch,방금 전,f휴머노이드 로봇의 진화,시각 청각 후각 촉각 다가져야 인간형 로봇이 됨,2026-02-11 13:41:19,"시각, 청각, 후각, 촉각, 다가져야, 인간형, 로봇이",0,0,7,0,중립,0.0
47,이마트,다담이,방금 전,좀 심하다,600프로가 애들 장난이냐 근데 기관하고 연기금은 뭐하는거야 방어안하고,2026-02-11 13:41:20,"프로가, 애들, 장난이냐, 근데, 기관하고, 연기금은, 뭐하는거야, 방어안하고",0,1,7,-1,부정,0.125
48,보성파워텍,나그네007,방금 전,제미나이에게 물었다.,오늘 1만원 안착시도. 우리기술 상 안풀리면 20% 전후에서 보성 마감.,2026-02-11 13:41:20,"오늘, 만원, 안착시도, 우리기술, 안풀리면, 전후에서, 보성, 마감",0,2,6,-2,부정,0.25
49,삼화페인트,투투가인,방금 전,인제는 대놓고 패네,페이크 없이?,2026-02-11 13:41:20,"페이크, 없이",0,1,1,-1,부정,0.5
50,삼성전자,11만전자,방금 전,비트코인 5만달러 붕괴 직전,코인매도해서 삼성전자 매수대기자금으로 유입될듯,2026-02-11 13:41:20,"코인매도해서, 삼성전자, 매수대기자금으로, 유입될듯",1,1,2,0,중립,0.5
51,알테오젠,햇살같은수익원리구루,방금 전,배당 말들이 많은데 그래도 이득아닌가,원래 주기로 했던거도 아니고 배당 챙겨준다는데 300원도 돈인데 없는거 보단 낫지 않나요?? 많이 챙겨주겠다 하고 적게 주는거도 아니고 경영진 횡보는 실망스럽지만 확실하게 깔 거만 깝시다 3월전후로 주주부양정책 나오겟죠 뭐,2026-02-11 13:41:26,"원래, 주기로, 했던거도, 아니고, 배당, 챙겨준다는데, 원도, 돈인데, 없는거, 보단",1,5,21,-4,부정,0.222
52,NAVER,영식,방금 전,3차법안 이제 시작이다,안전벨트 메고 5일선 안착했지 다음 은 ?,2026-02-11 13:41:27,"안전벨트, 메고, 일선, 안착했지, 다음",0,2,3,-2,부정,0.4
53,현대지에프홀딩스,30대은퇴자,방금 전,현대홈쇼핑을 완전자회사로 편입하네,이게 웬 떡이냐,2026-02-11 13:41:27,"이게, 떡이냐",0,0,2,0,중립,0.0
54,기업은행,돌멩잇,방금 전,신한은 항상 왜 저래,ㅉ분탕질ㅉ,2026-02-11 13:41:27,분탕질,0,0,1,0,중립,0.0
55,SG,수온이디,방금 전,뜽싸고있네,여섯줄 이상 글쓰지마라 읽기 짜증난다 쓰읍 또 빠진다 거냐안거냐 요것은 안오른다 구찌가 큰 기계로가라 거냐안거냐 괘퐌히구나 채대2580원 오늘 채소 십프로하락이다,2026-02-11 13:41:27,"여섯줄, 이상, 글쓰지마라, 읽기, 짜증난다, 쓰읍, 빠진다, 거냐안거냐, 요것은, 안오른다",1,4,13,-4,부정,0.278
56,비츠로시스,뻑,방금 전,너도 원전주,가즈아~~~,2026-02-11 13:41:27,가즈아,1,0,0,2,긍정,1.0
57,보성파워텍,베스트원은,방금 전,지가 Nxt 인줄,니 주제를 알아라,2026-02-11 13:41:28,"주제를, 알아라",0,0,2,0,중립,0.0
58,동양고속,고수되고파,방금 전,순간 날아갑니다,보세요 쏩니다,2026-02-11 13:41:28,"보세요, 쏩니다",0,0,2,0,중립,0.0
59,삼성전자,gotde,방금 전,외인들이 개미들 물량 싹쓸어 담아가고 있어요,"HBM4 대 성공에 이어서 여기에 더해 2,5배 빠른 기술 특허 출원까지",2026-02-11 13:41:28,"성공에, 이어서, 여기에, 더해, 빠른, 기술, 특허, 출원까지",1,0,7,2,긍정,0.125
60,엑스페릭스,기쁜차트맛영웅,방금 전,확인 하셔야 됩니다,331214,2026-02-11 13:41:28,,0,0,0,0,중립,0.0
61,로킷헬스케어,금수산도령님,방금 전,지금62500원지지가격 무너지면,"61,000원에 기다리겠소~",2026-02-11 13:41:28,"원에, 기다리겠소",0,0,2,0,중립,0.0
62,미래에셋벤처투자,그냥그냥그레,방금 전,시원하게,"내려와라~ 19,000원 매수 대기중.",2026-02-11 13:41:28,"내려와라, 매수, 대기중",1,1,1,-1,부정,0.667
63,현대ADM,WTOP,방금 전,"차트로 오늘 종가 4450원 지키면, 내일 상한가 가능",암 완전관해 재료가 진짜라면 주가는 더 강해야~,2026-02-11 13:41:29,"완전관해, 재료가, 진짜라면, 주가는, 강해야",0,0,5,0,중립,0.0
64,이마트,ㅎㄹㄹㄹ,방금 전,공매 8백만원 수익마감. 욕봐라. ㅋㅋㅋ,아 꼬셔꼬셔 ㅋㅋㅋㅋ,2026-02-11 13:41:29,꼬셔꼬셔,0,0,1,0,중립,0.0
65,OCI홀딩스,우르르쾅콩,방금 전,"실적이 잘나올수가 없다,","반도체쪽 예상치 하회, 건설쪽 적자예상됨, 발전쪽도 적자예상됨 태양광이 그나마 회복이긴한데 예상치대비로 크게 나아지긴어려움, 이미 예상이익이 300~500억이라는데,,, 태양광혼자서 이익700억해줘야되는데 되것냐?",2026-02-11 13:41:29,"반도체쪽, 예상치, 하회, 건설쪽, 적자예상됨, 발전쪽도, 적자예상됨, 태양광이, 그나마, 회복이긴한데",2,2,16,0,중립,0.2
66,엑스페릭스,깅가,방금 전,한번 더 알려줄테니 다들 말 들으렴,내일 무조건 떨어질거같은데~ 오늘 팔고 금욜쉬고 담주에 들어가라,2026-02-11 13:41:29,"내일, 무조건, 떨어질거같은데, 오늘, 팔고, 금욜쉬고, 담주에, 들어가라",0,1,7,-2,부정,0.125
67,롯데하이마트,사루안,방금 전,크흠...,"소매유통 관련주 다른 놈 오를 때 빌빌거리더니 내 한번은 쏠 줄 알았다ㅋㅋㅋ 근데, 후루룩 말아올리고 끝이네?? 망할놈 피뢰침 봐라ㅋㅋㅋㅋㅋㅋㅋ 다행히 걸어놓은 거 팔림",2026-02-11 13:41:29,"소매유통, 관련주, 다른, 오를, 빌빌거리더니, 한번은, 알았다, 근데, 후루룩, 말아올리고",1,2,14,-2,부정,0.176
68,카카오페이,Im,방금 전,캬 꿈틀대는거바라,상한가네요 ㅋㅋ,2026-02-11 13:41:29,상한가네요,1,0,0,3,긍정,1.0
69,현대건설,반도체대세1등주,방금 전,"★ 현대건설: 5배 폭등: 이젠 장기간, 폭락 불가피!","★ 현대건설: 5배 폭등: 이젠 장기간, 폭락 불가피! 5배 폭등에 따른 폭락 시점: 너무 올라 고평가: 하락! ----------------------------------------------------------------------------------------------- ★ 반도체) 엔비디아 3일간 12% 폭등: 삼성전자 10% 폭등 전망: 매수 적기 AI수요 폭증: 반도체 제조업체만 폭등: 삼성전자 대박 1. 삼성전자: 자사주 3.6조 매입(2200만주): 대박: 매수 - 기간: 1월30~4월29: 보통주만 매수: 보통주 매수 유리 - 1일 100만주씩 매수: 지난번 자사주 매수시 급등 했음 2. 삼성전자: 26년 영업이익 245조: 목표가 30만원: 매수 - 엔비디아 영업이익 120조(시총 6600조): 세계 시총 1위 - 삼성전자 영업이익 245조(시총 981조): 70만원 적정가 3. 삼성전자: 엔비디아+AMD+구글 HBM 모두납품: 대박 - 엔비디아 HBM 신규 납품: 200조원 전망: 매출 폭발 - AMD+구글 HBM 납품: 100조원 전망: 폭등 청신호 반도체 D램 가격: 25년 7배 폭등: 26년 100% 또 오른다 반도체 수요급증, 반도체 없어서 못판다: 폭등 사유 충분 ★ 삼성전자: HBM+파운드리+휴대폰(3개업황): 다 좋다 목표가 30만원으로 본, 지금은 저가 매수 절호의 기회!",2026-02-11 13:41:30,"현대건설, 폭등, 이젠, 장기간, 폭락, 불가피, 폭등에, 따른, 폭락, 시점",27,8,71,38,긍정,0.33
70,HJ중공업,전은경,방금 전,상잡주,잡주중에. 최상위잡주구나,2026-02-11 13:41:30,"잡주중에, 최상위잡주구나",0,0,2,0,중립,0.0
71,아크릴,맹구친구영구,방금 전,풍악을 울려라아아아~~~~~,쏴리질러~~~~~^^,2026-02-11 13:41:30,쏴리질러,0,0,1,0,중립,0.0
72,아크릴,몽실통통통,방금 전,다음 타자 뉴로핏,대기 중,2026-02-11 13:41:30,대기,0,0,1,0,중립,0.0
73,다스코,232528,방금 전,이거 명박이 회사 아닌가?,허허허허허,2026-02-11 13:41:30,허허허허허,0,0,1,0,중립,0.0
74,아크릴,포카AAAAAAA,방금 전,따따따블~~~,따따블 따따블 ~~~~,2026-02-11 13:41:31,"따따블, 따따블",0,0,2,0,중립,0.0
75,대창,나는30푸로쩜상묵는상따다,방금 전,실적공시뜨자마자마자시장가로질러서vi만들엇다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이빠이먹고나가게이빠이처올려라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:41:31,이빠이먹고나가게이빠이처올려라,0,0,1,0,중립,0.0
76,제일바이오,조용하게하자,방금 전,전재산 몰빵 완료 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:41:31,,0,0,0,0,중립,0.0
77,티엑스알로보틱스,노숙,방금 전,고점에,물리고 손절하고 떠난다 그지같은거,2026-02-11 13:41:31,"물리고, 손절하고, 떠난다, 그지같은거",0,1,3,-2,부정,0.25
78,샌디스크,우주콩,방금 전,-17퍼,버티면 올까요? 아님 물을 어디쯤에서 탈까요? 고견 부탁드립니다,2026-02-11 13:41:31,"버티면, 올까요, 아님, 물을, 어디쯤에서, 탈까요, 고견, 부탁드립니다",0,0,8,0,중립,0.0
79,삼영,해박한정보수사관,방금 전,오늘ㅎ ㅏ 루종일 48% 먹었네요,1412 11111111111111111111,2026-02-11 13:41:31,,0,0,0,0,중립,0.0
80,현대바이오,진성산업개발,방금 전,진짜 신한이랑 후준이,예전에 컨퍼런스 신한이 후원 ㅋㅋ. 둘이. 다 해먹엇나,2026-02-11 13:41:32,"예전에, 컨퍼런스, 신한이, 후원, 둘이, 해먹엇나",0,0,6,0,중립,0.0
81,압타바이오,타락파워전사,방금 전,어째 분위기가,슬슬 내년 으로 기울어 가나여?,2026-02-11 13:41:32,"슬슬, 내년, 기울어, 가나여",0,0,4,0,중립,0.0
82,HD현대일렉트릭,뼝알이,1분 전,하한까아 가즈앙,순시간 퍽락 요이따앙,2026-02-11 13:41:32,"순시간, 퍽락, 요이따앙",0,0,3,0,중립,0.0
83,아크릴,주식은차갑고차분하게,1분 전,아크릴 주주방,https://open.kakao.com/o/gIv5uMfi 오세요,2026-02-11 13:41:32,오세요,0,0,1,0,중립,0.0
84,롯데쇼핑,까나리액젓같네,1분 전,아쉽네여 유감입니다,음봉전환 되는거 아닌지? 그간 상승기울기가 높아서 피로한계에 다달았다고 하니 개미님들이 개거품을 물고 ZR을 하시는거 보니깐 더더 피곤하네여,2026-02-11 13:41:32,"음봉전환, 되는거, 아닌지, 그간, 상승기울기가, 높아서, 피로한계에, 다달았다고, 하니, 개미님들이",3,0,13,6,긍정,0.188
85,SK이터닉스,거래폭발,1분 전,욕심내지 말기,비중잡은거 지키고 아랫단 불타기 호가만 보고 안 주면 말고 날라가는거 없음,2026-02-11 13:41:33,"비중잡은거, 지키고, 아랫단, 불타기, 호가만, 보고, 주면, 말고, 날라가는거, 없음",0,1,9,-1,부정,0.1
86,스피어,애교있는투자소식타조,1분 전,이번주 2만원대로 돌아갈듯,헐..ㅋㅋㅋ 개떨어지네,2026-02-11 13:41:33,개떨어지네,1,0,0,2,긍정,1.0
87,두산에너빌리티,JustDoIt2025,1분 전,심장 터질 꺼 같아.. 빨리좀 어떻게 해봐,미칠꺼 같아....밥 생각도 안나. 아무것도 못하겠어....,2026-02-11 13:41:33,"미칠꺼, 같아, 생각도, 안나, 아무것도, 못하겠어",0,2,4,-2,부정,0.333
88,이마트,세력이기는개미,1분 전,공매풀베감ㅋ,간만에 공매로 돈벌자,2026-02-11 13:41:33,"간만에, 공매로, 돈벌자",0,0,3,0,중립,0.0
89,핀텔,샀다하면따블,1분 전,핀텔 투자사 4연상중 ㅋㅋ,아무래도 냄새난다 자료수집해서 신고해야겠다,2026-02-11 13:41:33,"아무래도, 냄새난다, 자료수집해서, 신고해야겠다",0,0,4,0,중립,0.0
90,뉴로핏,완전한상승테마킹,1분 전,제바는 원래 이런거지,흐름이 상승할 가능성이 높아 투자하긴 좋은데 시총이작아 변동성이 클뿐 생각한데로만 버티고 잘 가면 될듯,2026-02-11 13:41:33,"흐름이, 상승할, 가능성이, 높아, 투자하긴, 좋은데, 시총이작아, 변동성이, 클뿐, 생각한데로만",2,0,11,3,긍정,0.154
