N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
441,삼성전자,gotde,2분 전,외인들이 개미들 물량 싹쓸어 담아가고 있어요,"HBM4 대 성공에 이어서 여기에 더해 2,5배 빠른 기술 특허 출원까지",2026-02-11 13:43:00,"성공에, 이어서, 여기에, 더해, 빠른, 기술, 특허, 출원까지",1,0,7,2,긍정,0.125
442,엑스페릭스,기쁜차트맛영웅,2분 전,확인 하셔야 됩니다,331214,2026-02-11 13:43:00,,0,0,0,0,중립,0.0
443,로킷헬스케어,금수산도령님,2분 전,지금62500원지지가격 무너지면,"61,000원에 기다리겠소~",2026-02-11 13:43:00,"원에, 기다리겠소",0,0,2,0,중립,0.0
444,미래에셋벤처투자,그냥그냥그레,2분 전,시원하게,"내려와라~ 19,000원 매수 대기중.",2026-02-11 13:43:00,"내려와라, 매수, 대기중",1,1,1,-1,부정,0.667
445,현대ADM,WTOP,2분 전,"차트로 오늘 종가 4450원 지키면, 내일 상한가 가능",암 완전관해 재료가 진짜라면 주가는 더 강해야~,2026-02-11 13:43:01,"완전관해, 재료가, 진짜라면, 주가는, 강해야",0,0,5,0,중립,0.0
446,이마트,ㅎㄹㄹㄹ,2분 전,공매 8백만원 수익마감. 욕봐라. ㅋㅋㅋ,아 꼬셔꼬셔 ㅋㅋㅋㅋ,2026-02-11 13:43:01,꼬셔꼬셔,0,0,1,0,중립,0.0
447,OCI홀딩스,우르르쾅콩,2분 전,"실적이 잘나올수가 없다,","반도체쪽 예상치 하회, 건설쪽 적자예상됨, 발전쪽도 적자예상됨 태양광이 그나마 회복이긴한데 예상치대비로 크게 나아지긴어려움, 이미 예상이익이 300~500억이라는데,,, 태양광혼자서 이익700억해줘야되는데 되것냐?",2026-02-11 13:43:01,"반도체쪽, 예상치, 하회, 건설쪽, 적자예상됨, 발전쪽도, 적자예상됨, 태양광이, 그나마, 회복이긴한데",2,2,16,0,중립,0.2
448,엑스페릭스,깅가,2분 전,한번 더 알려줄테니 다들 말 들으렴,내일 무조건 떨어질거같은데~ 오늘 팔고 금욜쉬고 담주에 들어가라,2026-02-11 13:43:01,"내일, 무조건, 떨어질거같은데, 오늘, 팔고, 금욜쉬고, 담주에, 들어가라",0,1,7,-2,부정,0.125
449,롯데하이마트,사루안,2분 전,크흠...,"소매유통 관련주 다른 놈 오를 때 빌빌거리더니 내 한번은 쏠 줄 알았다ㅋㅋㅋ 근데, 후루룩 말아올리고 끝이네?? 망할놈 피뢰침 봐라ㅋㅋㅋㅋㅋㅋㅋ 다행히 걸어놓은 거 팔림",2026-02-11 13:43:01,"소매유통, 관련주, 다른, 오를, 빌빌거리더니, 한번은, 알았다, 근데, 후루룩, 말아올리고",1,2,14,-2,부정,0.176
450,카카오페이,Im,2분 전,캬 꿈틀대는거바라,상한가네요 ㅋㅋ,2026-02-11 13:43:02,상한가네요,1,0,0,3,긍정,1.0
