Model,R2,RMSE,MAE,Direction_Accuracy
LinearRegression,0.9995575914518964,65.178530657838,52.50218588792847,98.21428571428571
Stacking,0.9995568735007286,65.23139585763438,52.53643122937695,0.0
Voting,0.9994270323360398,74.17505334624472,56.98459068852211,0.0
Ridge,0.9992972605173477,82.14667476754623,63.48629891291182,97.61904761904762
Lasso,0.9992069058067674,87.26803477166743,67.88121120196399,97.61904761904762
RandomForest,0.9982565902433786,129.38756714949588,101.67463410687881,99.40476190476191
XGBoost,0.9980212695433376,137.84344870333524,105.19275841346153,97.61904761904762
